Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,roll,pitch,yaw,string
1667362682.439197,0,1667362682,438823461,IMU1_Frame,0,0,0,,-0.06658490730542882,0.07022017736247242,0.5986163295994283,0.795169206362532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.026029,0.032653,-0.109671,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.871,-0.711,-9.144,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0311,-0.203,0.3419,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.274,11.034,73.823,"$VNYMR,+073.823,+011.034,-001.274,+00.0311,-00.2030,+00.3419,+03.871,-00.711,-09.144,+00.026029,+00.032653,-00.109671*6B
"
1667362682.4803865,0,1667362682,463772296,IMU1_Frame,0,0,0,,-0.06667725381587951,0.07079079743478864,0.5973752527155358,0.796043726352497,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.033685,0.044143,-0.119799,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.584,-0.453,-9.214,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0272,-0.2118,0.3418,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.26,11.091,73.649,"$VNYMR,+073.649,+011.091,-001.260,+00.0272,-00.2118,+00.3418,+04.584,-00.453,-09.214,+00.033685,+00.044143,-00.119799*6B
"
1667362682.5236979,0,1667362682,488703966,IMU1_Frame,0,0,0,,-0.06672047785932382,0.07137744658417901,0.5960266968232417,0.7969980016457516,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.039135,0.047016,-0.13313,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.41,-0.391,-9.286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0301,-0.2089,0.3386,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.242,11.146,73.46,"$VNYMR,+073.460,+011.146,-001.242,+00.0301,-00.2089,+00.3386,+04.410,-00.391,-09.286,+00.039135,+00.047016,-00.133130*62
"
1667362682.5237255,0,1667362682,514526367,IMU1_Frame,0,0,0,,-0.06676674025186456,0.07192971503560121,0.5945965935956691,0.7980120358587731,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.034443,0.0346,-0.142875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.011,-0.768,-9.105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0283,-0.2019,0.3429,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.228,11.198,73.259,"$VNYMR,+073.259,+011.198,-001.228,+00.0283,-00.2019,+00.3429,+04.011,-00.768,-09.105,+00.034443,+00.034600,-00.142875*6C
"
1667362682.5672562,0,1667362682,539359331,IMU1_Frame,0,0,0,,-0.06678168078813004,0.07245215636984621,0.5930488102013269,0.7991145104847378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.03906,0.036861,-0.151936,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.452,-0.378,-9.105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.032,-0.206,0.3475,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.215,11.245,73.041,"$VNYMR,+073.041,+011.245,-001.215,+00.0320,-00.2060,+00.3475,+04.452,-00.378,-09.105,+00.039060,+00.036861,-00.151936*64
"
1667362682.5672805,0,1667362682,564363002,IMU1_Frame,0,0,0,,-0.06674782118733895,0.07290337086042996,0.5913996816592255,0.800297596783407,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.037154,0.028789,-0.16093,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.3,-0.591,-9.049,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0273,-0.2039,0.3373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.204,11.282,72.808,"$VNYMR,+072.808,+011.282,-001.204,+00.0273,-00.2039,+00.3373,+04.300,-00.591,-09.049,+00.037154,+00.028789,-00.160930*63
"
1667362682.6103916,0,1667362682,589193105,IMU1_Frame,0,0,0,,-0.06663782989059787,0.07322777239757428,0.589666477386626,0.801555075103145,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.034632,0.00969,-0.170593,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.855,-0.761,-9.2,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0301,-0.2119,0.3486,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.196,11.302,72.562,"$VNYMR,+072.562,+011.302,-001.196,+00.0301,-00.2119,+00.3486,+03.855,-00.761,-09.200,+00.034632,+00.009690,-00.170593*6D
"
1667362682.6151295,0,1667362682,614583730,IMU1_Frame,0,0,0,,-0.06654003504809214,0.07353320465643089,0.5878284690634268,0.8028841650619983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.036089,0.020432,-0.17965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.172,-0.494,-9.317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0291,-0.2069,0.3397,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.192,11.321,72.301,"$VNYMR,+072.301,+011.321,-001.192,+00.0291,-00.2069,+00.3397,+04.172,-00.494,-09.317,+00.036089,+00.020432,-00.179650*67
"
1667362682.657099,0,1667362682,639078140,IMU1_Frame,0,0,0,,-0.06637352498033983,0.07378208458828117,0.5858858582481192,0.804293802214313,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.041952,0.010058,-0.194137,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.123,-0.404,-9.31,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0292,-0.2069,0.3463,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.187,11.33,72.025,"$VNYMR,+072.025,+011.330,-001.187,+00.0292,-00.2069,+00.3463,+04.123,-00.404,-09.310,+00.041952,+00.010058,-00.194137*62
"
1667362682.700552,0,1667362682,664016485,IMU1_Frame,0,0,0,,-0.06607822399029087,0.07393172056175631,0.5838536472017744,0.8057807938008037,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.051882,-0.006699,-0.204954,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.538,-0.704,-9.07,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0292,-0.2029,0.3485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.178,11.321,71.736,"$VNYMR,+071.736,+011.321,-001.178,+00.0292,-00.2029,+00.3485,+03.538,-00.704,-09.070,+00.051882,-00.006699,-00.204954*67
"
