Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1667362866.3175232,0,15667,0,GPS1_Frame,42.34140666666667,-71.08643500000001,16.0,328129.54169757466,4689791.599146403,19,T
1667362867.3168259,0,15668,0,GPS1_Frame,42.34148499999999,-71.08633666666665,16.1,328137.85569279443,4689800.09870152,19,T
1667362868.3162642,0,15669,0,GPS1_Frame,42.34156166666667,-71.08624166666667,15.9,328145.8905325561,4689808.419932753,19,T
1667362869.3218555,0,15670,0,GPS1_Frame,42.341635,-71.086145,15.8,328154.05356932885,4689816.367662711,19,T
1667362870.3213487,0,15671,0,GPS1_Frame,42.34171166666667,-71.08604833333334,15.4,328162.2256687903,4689824.685543181,19,T
1667362871.3167806,0,15672,0,GPS1_Frame,42.34178666666667,-71.08595166666669,14.7,328170.3932088477,4689832.818361989,19,T
1667362872.3197289,0,15673,0,GPS1_Frame,42.34186166666667,-71.085855,14.7,328178.56073020335,4689840.951189855,19,T
1667362873.3222597,0,15674,0,GPS1_Frame,42.34193833333333,-71.08576500000001,14.4,328186.18358662596,4689849.282569353,19,T
1667362874.3247664,0,15675,0,GPS1_Frame,42.342013333333334,-71.08567500000001,14.5,328193.80188557407,4689857.428885981,19,T
1667362875.329995,0,15676,0,GPS1_Frame,42.34208666666667,-71.08558833333335,14.3,328201.1410352118,4689865.396875098,19,T
1667362876.3213243,0,15677,0,GPS1_Frame,42.34215833333333,-71.08550666666667,14.2,328208.063741008,4689873.189903409,19,T
1667362877.329752,0,15678,0,GPS1_Frame,42.34222833333333,-71.085425,14.1,328214.98189255525,4689880.797867467,19,T
1667362878.3233325,0,15679,0,GPS1_Frame,42.34229666666667,-71.08534333333334,14.0,328221.8954903774,4689888.220767264,19,T
1667362879.322815,0,15680,0,GPS1_Frame,42.34236333333334,-71.08526166666667,13.9,328228.80453498167,4689895.458602798,19,T
1667362880.3272827,0,15681,0,GPS1_Frame,42.342425,-71.08518500000001,13.8,328235.28806318407,4689902.151333678,19,T
1667362881.3259573,0,15682,0,GPS1_Frame,42.34247833333334,-71.08511833333334,13.8,328240.9251145769,4689907.938918083,19,T
1667362882.3227394,0,15683,0,GPS1_Frame,42.342524999999995,-71.085065,13.9,328245.4456412981,4689913.01315848,19,T
1667362883.3231413,0,15684,0,GPS1_Frame,42.34255666666667,-71.08502499999999,13.9,328248.82695546176,4689916.448699115,19,T
1667362884.3245268,0,15685,0,GPS1_Frame,42.34258,-71.08500000000001,14.1,328250.94991900783,4689918.989188119,19,T
1667362885.3285255,0,15686,0,GPS1_Frame,42.34259166666667,-71.08498666666665,14.2,328252.0800477681,4689920.257749492,19,T
1667362886.329651,0,15687,0,GPS1_Frame,42.342593333333326,-71.08498,14.1,328252.633766389,4689920.429353394,19,T
1667362887.3239336,0,15688,0,GPS1_Frame,42.342593333333326,-71.08498,14.1,328252.633766389,4689920.429353394,19,T
1667362888.3254168,0,15689,0,GPS1_Frame,42.34259,-71.08498,14.0,328252.6246899059,4689920.059211916,19,T
1667362889.327,0,15690,0,GPS1_Frame,42.34259,-71.08497666666668,13.9,328252.8992801049,4689920.052478516,19,T
1667362890.3282988,0,15691,0,GPS1_Frame,42.342594999999996,-71.08497000000001,13.8,328253.46207516006,4689920.594223962,19,T
1667362891.3301003,0,15692,0,GPS1_Frame,42.342605000000006,-71.08495666666666,13.8,328254.58766501653,4689921.677714982,19,T
1667362892.3219295,0,15693,0,GPS1_Frame,42.342621666666666,-71.08493166666668,13.8,328256.6924723927,4689923.477922686,19,T
1667362893.329862,0,15694,0,GPS1_Frame,42.342638333333326,-71.08489333333334,13.8,328259.8956386392,4689925.251198397,19,T
1667362894.3233292,0,15695,0,GPS1_Frame,42.34264833333334,-71.08484833333334,13.9,328263.62983120815,4689926.270726589,19,T
