Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,deriv_northing,deriv_easting,deriv_speed_mag
353.01013565063477,0,15986,0,GPS1_Frame,42.33200333333332,-71.09398999999999,16.0,327481.4585329361,4688762.729953226,19,T,-8.321948406314712,-8.038137600661772,11.570068338801486
354.00995659828186,0,15987,0,GPS1_Frame,42.33193166666667,-71.09408,16.3,327473.84739129164,4688754.954505946,19,T,-7.142501059625037,-7.0471870434048745,10.033851035942197
355.00999569892883,0,15988,0,GPS1_Frame,42.331871666666665,-71.09415666666666,16.7,327467.36668248015,4688748.44750887,19,T,-6.145066707878687,-6.12806361625752,8.678422006861512
356.0099284648895,0,15989,0,GPS1_Frame,42.33181833333333,-71.094225,17.2,327461.5907848366,4688742.663891978,19,T,-5.696534808483808,-5.568019779587796,7.9657613000986025
357.0110111236572,0,15990,0,GPS1_Frame,42.331766666666674,-71.09428833333334,17.5,327456.2313916419,4688737.055205255,19,T,-5.333758642815763,-5.003846250735368,7.313512053781702
358.010187625885,0,15991,0,GPS1_Frame,42.33171999999999,-71.09434333333334,17.7,327451.5722574191,4688731.984825411,19,T,-4.5341186719467705,-4.03084829233162,6.066792405142035
359.0096688270569,0,15992,0,GPS1_Frame,42.33168333333334,-71.09438333333333,17.9,327448.1763338464,4688727.994435584,19,T,-3.2653282938693367,-2.8298862254957013,4.320951853005764
360.01018381118774,0,15993,0,GPS1_Frame,42.33165999999999,-71.09441,17.9,327445.91542125144,4688725.45755692,19,T,-1.9958572241378396,-1.6284655301835664,2.575916544094402
361.01149892807007,0,15994,0,GPS1_Frame,42.33164666666666,-71.09442166666666,18.3,327444.91772551823,4688724.000665466,19,T,-1.0920778180299988,-0.7130044318154465,1.3042274649851653
362.0103397369385,0,15995,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.6,327444.4875370195,4688723.270528864,19,T,-0.36549197615025464,-0.2153438740844787,0.4242138243102529
363.0105001926422,0,15996,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
364.01053738594055,0,15997,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
365.0104429721832,0,15998,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
366.01074981689453,0,15999,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
367.0098206996918,0,16000,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
368.01021099090576,0,16001,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
369.0126886367798,0,16002,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
370.01081252098083,0,16003,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
371.00973892211914,0,16004,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
372.0100932121277,0,16005,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
373.01100850105286,0,16006,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
374.0108218193054,0,16007,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
375.010657787323,0,16008,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
376.0106477737427,0,16009,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
377.01071095466614,0,16010,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
378.01057958602905,0,16011,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
379.00974345207214,0,16012,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
380.01058530807495,0,16013,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
381.0116229057312,0,16014,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
382.0109860897064,0,16015,0,GPS1_Frame,42.33164000000001,-71.09442666666668,18.5,327444.4875370195,4688723.270528864,19,T,0.0,0.0,0.0
