Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality,UTM_easting(scaled),UTM_northing(scaled)
118,121,1665544828,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
119,122,1665544829,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
120,123,1665544830,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
121,124,1665544831,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
122,125,1665544832,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
123,126,1665544833,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
124,127,1665544834,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
125,128,1665544835,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
126,129,1665544836,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
127,130,1665544837,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
128,131,1665544838,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
129,132,1665544839,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
130,133,1665544840,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,0.0,0.0
131,134,1665544841,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.6875,4689216.5,19,T,4,0.03125,0.0
