Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664136543.1269758,48,200903,0,GPS1_Frame,42.332054333333325,-71.09848066666667,32.6,327111.60796440905,4688777.5130610345,19,T
1664136544.1295342,49,200904,0,GPS1_Frame,42.33206,-71.098496,32.7,327110.3601642908,4688778.173474525,19,T
1664136545.1176503,50,200905,0,GPS1_Frame,42.33206416666667,-71.09851133333333,32.7,327109.10825428367,4688778.66732471,19,T
1664136546.1307824,51,200906,0,GPS1_Frame,42.3320685,-71.09852516666666,32.9,327107.9803874459,4688779.17663255,19,T
1664136547.1379704,52,200907,0,GPS1_Frame,42.33207216666666,-71.0985375,33.2,327106.9742803365,4688779.608862687,19,T
1664136548.1241448,53,200908,0,GPS1_Frame,42.33207433333334,-71.09855333333333,32.9,327105.67569509614,4688779.881645337,19,T
1664136549.1310215,54,200909,0,GPS1_Frame,42.33207900000001,-71.09856783333333,33.1,327104.4938148201,4688780.429323281,19,T
1664136550.1386125,55,200910,0,GPS1_Frame,42.33208333333334,-71.09858200000001,33.2,327103.33848495025,4688780.939309596,19,T
1664136551.1236715,56,200911,0,GPS1_Frame,42.33208666666666,-71.098596,33.4,327102.1941468603,4688781.337914891,19,T
1664136552.1315453,57,200912,0,GPS1_Frame,42.332090333333326,-71.09861083333334,33.7,327100.9820632527,4688781.775228805,19,T
1664136553.1408234,58,200913,0,GPS1_Frame,42.332094999999995,-71.0986255,33.9,327099.7864518231,4688782.323246428,19,T
1664136554.126033,59,200914,0,GPS1_Frame,42.332099500000005,-71.098641,34.1,327098.5217248282,4688782.854451534,19,T
1664136555.1344154,60,200915,0,GPS1_Frame,42.332103999999994,-71.09865716666667,34.2,327097.20207079384,4688783.38701235,19,T
1664136556.1188345,61,200916,0,GPS1_Frame,42.3321075,-71.09867233333333,34.2,327095.96206749,4688783.806497835,19,T
1664136557.1291015,62,200917,0,GPS1_Frame,42.33211133333332,-71.09868633333333,34.9,327094.8191003882,4688784.260625539,19,T
1664136558.1342118,63,200918,0,GPS1_Frame,42.33211133333332,-71.09870183333334,34.7,327093.5420426016,4688784.292140952,19,T
1664136559.123561,64,200919,0,GPS1_Frame,42.332116,-71.098715,35.3,327092.470018356,4688784.837109966,19,T
1664136560.127307,65,200920,0,GPS1_Frame,42.3321205,-71.09872783333334,36.0,327091.4250011478,4688785.362894326,19,T
1664136561.1337934,66,200921,0,GPS1_Frame,42.33212400000001,-71.09874166666667,36.4,327090.29485290335,4688785.779669789,19,T
1664136562.1214921,67,200922,0,GPS1_Frame,42.332126,-71.09875933333333,36.1,327088.8447627578,4688786.037676267,19,T
1664136563.12822,68,200923,0,GPS1_Frame,42.33213066666667,-71.09877083333335,36.6,327087.91005711455,4688786.579257138,19,T
1664136564.1180952,69,200924,0,GPS1_Frame,42.332138333333326,-71.098784,37.5,327086.84625493863,4688787.457354113,19,T
1664136565.122873,70,200925,0,GPS1_Frame,42.332146333333334,-71.09879500000001,38.4,327085.9618798664,4688788.368059786,19,T
1664136566.13194,71,200926,0,GPS1_Frame,42.332148833333335,-71.09880916666665,38.6,327084.8015283338,4688788.674471582,19,T
1664136567.1184306,72,200927,0,GPS1_Frame,42.3321495,-71.09882666666667,37.8,327083.3615167398,4688788.784083846,19,T
1664136568.126109,73,200928,0,GPS1_Frame,42.33216016666667,-71.09883599999999,39.4,327082.6217682389,4688789.987513952,19,T
1664136569.1324131,74,200929,0,GPS1_Frame,42.33216349999999,-71.09884916666667,39.6,327081.5460916206,4688790.38442821,19,T
1664136570.1591735,75,200930,0,GPS1_Frame,42.33216883333333,-71.09886233333333,40.1,327080.4758962047,4688791.003427356,19,T
